email,name,userType,profileDetails,createdAt
"shanaya.verma284@fotdu.edu.in","Shanaya Verma","Alumni","693518debd14f512f99e1d2c","2019-02-28T18:30:00.000Z"
"harish.tiwari97@fotdu.edu.in","Harish Tiwari","Alumni","693518debd14f512f99e1d36","2019-03-20T18:30:00.000Z"
"ishaan.dhawan293@fotdu.edu.in","Ishaan Dhawan","Alumni","693518debd14f512f99e1d46","2023-04-04T18:30:00.000Z"
"ananya.mukherjee966@fotdu.edu.in","Ananya Mukherjee","Alumni","693518debd14f512f99e1d56","2022-12-25T18:30:00.000Z"
"darsh.pandey552@fotdu.edu.in","Darsh Pandey","Alumni","693518debd14f512f99e1d62","2022-02-28T18:30:00.000Z"
"diya.sethi623@fotdu.edu.in","Diya Sethi","Alumni","693518dfbd14f512f99e1d72","2019-12-02T18:30:00.000Z"
"suresh.srivastava806@fotdu.edu.in","Suresh Srivastava","Alumni","693518dfbd14f512f99e1d82","2022-12-25T18:30:00.000Z"
"saraswati.gupta559@fotdu.edu.in","Saraswati Gupta","Alumni","693518dfbd14f512f99e1d90","2020-11-11T18:30:00.000Z"
"gayatri.iyer325@fotdu.edu.in","Gayatri Iyer","Alumni","693518dfbd14f512f99e1d9d","2019-02-14T18:30:00.000Z"
"aarav.chatterjee466@fotdu.edu.in","Aarav Chatterjee","Alumni","693518dfbd14f512f99e1da7","2019-01-25T18:30:00.000Z"
"tanya.chopra850@fotdu.edu.in","Tanya Chopra","Alumni","693518dfbd14f512f99e1db4","2020-05-24T18:30:00.000Z"
"kabir.khanna161@fotdu.edu.in","Kabir Khanna","Alumni","693518dfbd14f512f99e1dc1","2023-10-19T18:30:00.000Z"
"anika.bose165@fotdu.edu.in","Anika Bose","Alumni","693518dfbd14f512f99e1dd0","2020-02-22T18:30:00.000Z"
"advait.khanna79@fotdu.edu.in","Advait Khanna","Alumni","693518e0bd14f512f99e1ddf","2022-01-08T18:30:00.000Z"
"karthik.kulkarni985@fotdu.edu.in","Karthik Kulkarni","Alumni","693518e0bd14f512f99e1dee","2021-08-04T18:30:00.000Z"
"sai.mishra741@fotdu.edu.in","Sai Mishra","Alumni","693518e0bd14f512f99e1dfd","2022-03-12T18:30:00.000Z"
"kabir.patil125@fotdu.edu.in","Kabir Patil","Alumni","693518e0bd14f512f99e1e0c","2022-07-18T18:30:00.000Z"
"simran.tiwari324@fotdu.edu.in","Simran Tiwari","Alumni","693518e0bd14f512f99e1e19","2021-12-31T18:30:00.000Z"
"ira.das327@fotdu.edu.in","Ira Das","Alumni","693518e0bd14f512f99e1e29","2022-04-14T18:30:00.000Z"
"advait.deshpande324@fotdu.edu.in","Advait Deshpande","Alumni","693518e0bd14f512f99e1e39","2023-05-17T18:30:00.000Z"
"varun.shukla249@fotdu.edu.in","Varun Shukla","Alumni","693518e1bd14f512f99e1e49","2019-03-18T18:30:00.000Z"
"dhruv.agarwal164@fotdu.edu.in","Dhruv Agarwal","Alumni","693518e1bd14f512f99e1e59","2022-10-15T18:30:00.000Z"
"anika.mukherjee202@fotdu.edu.in","Anika Mukherjee","Alumni","693518e1bd14f512f99e1e66","2019-10-27T18:30:00.000Z"
"ravi.sen255@fotdu.edu.in","Ravi Sen","Alumni","693518e1bd14f512f99e1e74","2020-05-24T18:30:00.000Z"
"ankit.mehra594@fotdu.edu.in","Ankit Mehra","Alumni","693518e1bd14f512f99e1e83","2023-12-25T18:30:00.000Z"
"arun.das115@fotdu.edu.in","Arun Das","Alumni","693518e1bd14f512f99e1e93","2021-11-21T18:30:00.000Z"
"drishti.sharma303@fotdu.edu.in","Drishti Sharma","Student","693518ffbd14f512f99e2bb0","2021-07-08T18:30:00.000Z"
"manoj.goel446@fotdu.edu.in","Manoj Goel","Student","69351900bd14f512f99e2bb3","2024-07-15T18:30:00.000Z"
"amit.chopra52@fotdu.edu.in","Amit Chopra","Student","69351900bd14f512f99e2bb6","2021-09-16T18:30:00.000Z"
"ayaan.dubey718@fotdu.edu.in","Ayaan Dubey","Student","69351900bd14f512f99e2bb9","2021-08-06T18:30:00.000Z"
"kian.dubey271@fotdu.edu.in","Kian Dubey","Student","69351900bd14f512f99e2bbc","2022-09-07T18:30:00.000Z"
"venkat.kumar491@fotdu.edu.in","Venkat Kumar","Student","69351900bd14f512f99e2bbf","2021-07-28T18:30:00.000Z"
"arun.sen4@fotdu.edu.in","Arun Sen","Student","69351900bd14f512f99e2bc2","2023-09-16T18:30:00.000Z"
"aanya.sharma323@fotdu.edu.in","Aanya Sharma","Student","69351900bd14f512f99e2bc5","2022-07-13T18:30:00.000Z"
"meera.das429@fotdu.edu.in","Meera Das","Student","69351900bd14f512f99e2bc8","2023-09-14T18:30:00.000Z"
"sahil.das25@fotdu.edu.in","Sahil Das","Student","69351900bd14f512f99e2bcb","2023-07-16T18:30:00.000Z"
"pradeep.tiwari448@fotdu.edu.in","Pradeep Tiwari","Student","69351900bd14f512f99e2bce","2022-09-08T18:30:00.000Z"
"ravi.shukla357@fotdu.edu.in","Ravi Shukla","Student","69351900bd14f512f99e2bd1","2021-09-29T18:30:00.000Z"
"tarun.sharma491@fotdu.edu.in","Tarun Sharma","Student","69351900bd14f512f99e2bd4","2022-09-01T18:30:00.000Z"
"saraswati.malhotra487@fotdu.edu.in","Saraswati Malhotra","Student","69351900bd14f512f99e2bd7","2023-07-18T18:30:00.000Z"
"prasad.kapoor653@fotdu.edu.in","Prasad Kapoor","Student","69351901bd14f512f99e2bda","2021-08-29T18:30:00.000Z"
"bhavya.banerjee227@fotdu.edu.in","Bhavya Banerjee","Student","69351901bd14f512f99e2bdd","2022-08-13T18:30:00.000Z"
"riya.banerjee336@fotdu.edu.in","Riya Banerjee","Student","69351901bd14f512f99e2be0","2023-09-18T18:30:00.000Z"
"pradeep.patil786@fotdu.edu.in","Pradeep Patil","Student","69351901bd14f512f99e2be3","2021-09-27T18:30:00.000Z"
"sunil.iyer198@fotdu.edu.in","Sunil Iyer","Student","69351901bd14f512f99e2be6","2022-07-09T18:30:00.000Z"
"ankit.patil557@fotdu.edu.in","Ankit Patil","Student","69351901bd14f512f99e2be9","2024-08-31T18:30:00.000Z"
"pihu.pillai57@fotdu.edu.in","Pihu Pillai","Student","69351901bd14f512f99e2bec","2021-08-05T18:30:00.000Z"
"harish.chatterjee216@fotdu.edu.in","Harish Chatterjee","Student","69351901bd14f512f99e2bef","2021-08-17T18:30:00.000Z"
"ira.iyer19@fotdu.edu.in","Ira Iyer","Student","69351901bd14f512f99e2bf2","2023-07-04T18:30:00.000Z"
"sahil.srivastava321@fotdu.edu.in","Sahil Srivastava","Student","69351901bd14f512f99e2bf5","2022-07-03T18:30:00.000Z"
"mahi.yadav902@fotdu.edu.in","Mahi Yadav","Student","69351901bd14f512f99e2bf8","2023-07-05T18:30:00.000Z"
"anika.verma656@fotdu.edu.in","Anika Verma","Student","69351901bd14f512f99e2bfb","2024-08-06T18:30:00.000Z"
"pradeep.gupta504@fotdu.edu.in","Pradeep Gupta","Student","69351901bd14f512f99e2bfe","2024-09-04T18:30:00.000Z"
"riya.yadav890@fotdu.edu.in","Riya Yadav","Student","69351902bd14f512f99e2c01","2021-08-17T18:30:00.000Z"
"sanjay.mehra939@fotdu.edu.in","Sanjay Mehra","Student","69351902bd14f512f99e2c04","2021-08-13T18:30:00.000Z"
"anjali.mukherjee351@fotdu.edu.in","Anjali Mukherjee","Student","69351902bd14f512f99e2c07","2021-09-11T18:30:00.000Z"
"ankit.patel178@fotdu.edu.in","Ankit Patel","Student","69351902bd14f512f99e2c0a","2024-08-01T18:30:00.000Z"
"tarun.ghosh592@fotdu.edu.in","Tarun Ghosh","Student","69351902bd14f512f99e2c0d","2023-08-01T18:30:00.000Z"
"meera.dubey7@fotdu.edu.in","Meera Dubey","Student","69351902bd14f512f99e2c10","2022-08-09T18:30:00.000Z"
"kritika.yadav276@fotdu.edu.in","Kritika Yadav","Student","69351902bd14f512f99e2c13","2022-07-06T18:30:00.000Z"
"darsh.banerjee436@fotdu.edu.in","Darsh Banerjee","Student","69351902bd14f512f99e2c16","2022-07-02T18:30:00.000Z"
"ayaan.malhotra20@fotdu.edu.in","Ayaan Malhotra","Student","69351902bd14f512f99e2c19","2023-07-19T18:30:00.000Z"
"navya.agarwal212@fotdu.edu.in","Navya Agarwal","Student","69351902bd14f512f99e2c1c","2023-09-16T18:30:00.000Z"
"sanjay.agarwal511@fotdu.edu.in","Sanjay Agarwal","Student","69351902bd14f512f99e2c1f","2024-08-18T18:30:00.000Z"
"veer.nair479@fotdu.edu.in","Veer Nair","Student","69351902bd14f512f99e2c22","2021-08-27T18:30:00.000Z"
"nisha.bhatia669@fotdu.edu.in","Nisha Bhatia","Student","69351903bd14f512f99e2c25","2024-07-22T18:30:00.000Z"
"charvi.pawar576@stephensdu.edu.in","Charvi Pawar","Alumni","693518e2bd14f512f99e1ea3","2021-05-15T18:30:00.000Z"
"kritika.reddy691@stephensdu.edu.in","Kritika Reddy","Alumni","693518e2bd14f512f99e1eb0","2019-08-02T18:30:00.000Z"
"aditya.patil699@stephensdu.edu.in","Aditya Patil","Alumni","693518e2bd14f512f99e1ec0","2021-08-12T18:30:00.000Z"
"kajal.nair157@stephensdu.edu.in","Kajal Nair","Alumni","693518e2bd14f512f99e1ed0","2020-07-10T18:30:00.000Z"
"nisha.jain629@stephensdu.edu.in","Nisha Jain","Alumni","693518e2bd14f512f99e1edd","2022-01-07T18:30:00.000Z"
"sunil.banerjee26@stephensdu.edu.in","Sunil Banerjee","Alumni","693518e2bd14f512f99e1eea","2021-01-07T18:30:00.000Z"
"mohit.menon670@stephensdu.edu.in","Mohit Menon","Alumni","693518e2bd14f512f99e1ef7","2022-01-11T18:30:00.000Z"
"kunal.sharma832@stephensdu.edu.in","Kunal Sharma","Alumni","693518e3bd14f512f99e1f07","2019-02-13T18:30:00.000Z"
"pallavi.patel690@stephensdu.edu.in","Pallavi Patel","Alumni","693518e3bd14f512f99e1f17","2020-12-14T18:30:00.000Z"
"kian.sethi797@stephensdu.edu.in","Kian Sethi","Alumni","693518e3bd14f512f99e1f23","2021-02-01T18:30:00.000Z"
"diya.chopra859@stephensdu.edu.in","Diya Chopra","Alumni","693518e3bd14f512f99e1f32","2020-06-08T18:30:00.000Z"
"nikhil.khanna234@stephensdu.edu.in","Nikhil Khanna","Alumni","693518e3bd14f512f99e1f3f","2021-12-16T18:30:00.000Z"
"karthik.yadav534@stephensdu.edu.in","Karthik Yadav","Alumni","693518e3bd14f512f99e1f4e","2022-01-03T18:30:00.000Z"
"dhruv.chauhan737@stephensdu.edu.in","Dhruv Chauhan","Alumni","693518e3bd14f512f99e1f5d","2020-06-23T18:30:00.000Z"
"kajal.deshpande647@stephensdu.edu.in","Kajal Deshpande","Alumni","693518e4bd14f512f99e1f6b","2019-12-02T18:30:00.000Z"
"reyansh.verma320@stephensdu.edu.in","Reyansh Verma","Alumni","693518e4bd14f512f99e1f7a","2023-02-26T18:30:00.000Z"
"mansi.mehra506@stephensdu.edu.in","Mansi Mehra","Alumni","693518e4bd14f512f99e1f89","2021-01-31T18:30:00.000Z"
"akash.anand955@stephensdu.edu.in","Akash Anand","Alumni","693518e4bd14f512f99e1f93","2022-11-01T18:30:00.000Z"
"tanya.tiwari425@stephensdu.edu.in","Tanya Tiwari","Alumni","693518e4bd14f512f99e1fa1","2022-01-25T18:30:00.000Z"
"bhavya.bose701@stephensdu.edu.in","Bhavya Bose","Alumni","693518e4bd14f512f99e1fae","2020-01-08T18:30:00.000Z"
"gayatri.iyengar624@stephensdu.edu.in","Gayatri Iyengar","Alumni","693518e4bd14f512f99e1fbd","2021-05-19T18:30:00.000Z"
"krishna.agarwal64@stephensdu.edu.in","Krishna Agarwal","Alumni","693518e5bd14f512f99e1fc8","2023-10-19T18:30:00.000Z"
"ravi.pandey689@stephensdu.edu.in","Ravi Pandey","Alumni","693518e5bd14f512f99e1fd8","2023-11-20T18:30:00.000Z"
"venkat.singh763@stephensdu.edu.in","Venkat Singh","Alumni","693518e5bd14f512f99e1fe7","2019-05-22T18:30:00.000Z"
"shruti.tiwari25@stephensdu.edu.in","Shruti Tiwari","Alumni","693518e5bd14f512f99e1ff7","2020-12-08T18:30:00.000Z"
"yash.srivastava223@stephensdu.edu.in","Yash Srivastava","Alumni","693518e5bd14f512f99e2007","2019-06-25T18:30:00.000Z"
"bhavya.chopra590@stephensdu.edu.in","Bhavya Chopra","Alumni","693518e5bd14f512f99e2013","2021-07-25T18:30:00.000Z"
"ishita.tiwari522@stephensdu.edu.in","Ishita Tiwari","Alumni","693518e5bd14f512f99e2022","2021-11-26T18:30:00.000Z"
"sanjay.yadav342@stephensdu.edu.in","Sanjay Yadav","Alumni","693518e5bd14f512f99e202e","2021-06-17T18:30:00.000Z"
"sunil.mukherjee671@stephensdu.edu.in","Sunil Mukherjee","Alumni","693518e5bd14f512f99e203a","2023-06-04T18:30:00.000Z"
"priya.tiwari836@stephensdu.edu.in","Priya Tiwari","Alumni","693518e6bd14f512f99e2047","2021-02-23T18:30:00.000Z"
"shaurya.patil740@stephensdu.edu.in","Shaurya Patil","Alumni","693518e6bd14f512f99e2057","2023-06-13T18:30:00.000Z"
"ishaan.iyengar225@stephensdu.edu.in","Ishaan Iyengar","Alumni","693518e6bd14f512f99e2066","2023-03-22T18:30:00.000Z"
"arjun.patil3@stephensdu.edu.in","Arjun Patil","Alumni","693518e6bd14f512f99e2076","2023-10-17T18:30:00.000Z"
"vivaan.jain165@stephensdu.edu.in","Vivaan Jain","Alumni","693518e6bd14f512f99e2083","2021-12-14T18:30:00.000Z"
"rohit.sethi641@stephensdu.edu.in","Rohit Sethi","Alumni","693518e6bd14f512f99e2090","2020-06-25T18:30:00.000Z"
"mansi.malhotra40@stephensdu.edu.in","Mansi Malhotra","Alumni","693518e6bd14f512f99e209f","2022-08-11T18:30:00.000Z"
"venkat.chatterjee224@stephensdu.edu.in","Venkat Chatterjee","Alumni","693518e7bd14f512f99e20af","2022-05-02T18:30:00.000Z"
"pihu.joshi70@stephensdu.edu.in","Pihu Joshi","Alumni","693518e7bd14f512f99e20bc","2019-09-14T18:30:00.000Z"
"bhavya.banerjee172@stephensdu.edu.in","Bhavya Banerjee","Alumni","693518e7bd14f512f99e20c8","2021-03-24T18:30:00.000Z"
"arun.jain770@stephensdu.edu.in","Arun Jain","Alumni","693518e7bd14f512f99e20d7","2022-09-05T18:30:00.000Z"
"reyansh.yadav938@stephensdu.edu.in","Reyansh Yadav","Alumni","693518e7bd14f512f99e20e7","2023-08-31T18:30:00.000Z"
"vrinda.deshpande968@stephensdu.edu.in","Vrinda Deshpande","Alumni","693518e7bd14f512f99e20f1","2021-05-06T18:30:00.000Z"
"kabir.verma329@stephensdu.edu.in","Kabir Verma","Alumni","693518e7bd14f512f99e2100","2021-07-11T18:30:00.000Z"
"mohit.kapoor111@stephensdu.edu.in","Mohit Kapoor","Alumni","693518e7bd14f512f99e2110","2023-11-08T18:30:00.000Z"
"reyansh.shukla86@stephensdu.edu.in","Reyansh Shukla","Alumni","693518e8bd14f512f99e211d","2021-10-24T18:30:00.000Z"
"ishita.goel902@stephensdu.edu.in","Ishita Goel","Alumni","693518e8bd14f512f99e212a","2019-10-02T18:30:00.000Z"
"sahil.pandey535@stephensdu.edu.in","Sahil Pandey","Alumni","693518e8bd14f512f99e2139","2019-02-05T18:30:00.000Z"
"ankit.menon611@stephensdu.edu.in","Ankit Menon","Alumni","693518e8bd14f512f99e2148","2023-08-04T18:30:00.000Z"
"nikhil.kumar698@stephensdu.edu.in","Nikhil Kumar","Alumni","693518e8bd14f512f99e2158","2020-04-08T18:30:00.000Z"
"riddhi.deshpande169@stephensdu.edu.in","Riddhi Deshpande","Alumni","693518e8bd14f512f99e2167","2021-01-16T18:30:00.000Z"
"rahul.kumar791@stephensdu.edu.in","Rahul Kumar","Alumni","693518e8bd14f512f99e2177","2020-11-10T18:30:00.000Z"
"sneha.reddy158@stephensdu.edu.in","Sneha Reddy","Alumni","693518e8bd14f512f99e2184","2019-10-31T18:30:00.000Z"
"naveen.sethi110@stephensdu.edu.in","Naveen Sethi","Alumni","693518e9bd14f512f99e2191","2023-01-19T18:30:00.000Z"
"darsh.mukherjee665@stephensdu.edu.in","Darsh Mukherjee","Alumni","693518e9bd14f512f99e219b","2023-09-18T18:30:00.000Z"
"mansi.kulkarni715@stephensdu.edu.in","Mansi Kulkarni","Alumni","693518e9bd14f512f99e21ab","2023-07-26T18:30:00.000Z"
"kian.shukla274@stephensdu.edu.in","Kian Shukla","Alumni","693518e9bd14f512f99e21bb","2023-01-03T18:30:00.000Z"
"vrinda.mukherjee387@stephensdu.edu.in","Vrinda Mukherjee","Alumni","693518e9bd14f512f99e21c7","2023-09-27T18:30:00.000Z"
"reyansh.mehra475@stephensdu.edu.in","Reyansh Mehra","Alumni","693518e9bd14f512f99e21d7","2021-08-16T18:30:00.000Z"
"charvi.joshi406@stephensdu.edu.in","Charvi Joshi","Alumni","693518e9bd14f512f99e21e7","2022-01-11T18:30:00.000Z"
"rajesh.arora801@stephensdu.edu.in","Rajesh Arora","Student","69351903bd14f512f99e2c28","2024-09-12T18:30:00.000Z"
"dhruv.kumar471@stephensdu.edu.in","Dhruv Kumar","Student","69351903bd14f512f99e2c2b","2023-09-08T18:30:00.000Z"
"arun.thakur267@stephensdu.edu.in","Arun Thakur","Student","69351903bd14f512f99e2c2e","2024-08-13T18:30:00.000Z"
"karthik.anand478@stephensdu.edu.in","Karthik Anand","Student","69351903bd14f512f99e2c31","2023-09-09T18:30:00.000Z"
"krishna.khanna541@stephensdu.edu.in","Krishna Khanna","Student","69351903bd14f512f99e2c34","2021-07-23T18:30:00.000Z"
"shanaya.das31@stephensdu.edu.in","Shanaya Das","Student","69351903bd14f512f99e2c37","2024-07-26T18:30:00.000Z"
"aarav.pandey195@stephensdu.edu.in","Aarav Pandey","Student","69351903bd14f512f99e2c3a","2024-09-05T18:30:00.000Z"
"aadhya.mukherjee184@stephensdu.edu.in","Aadhya Mukherjee","Student","69351903bd14f512f99e2c3d","2024-08-20T18:30:00.000Z"
"arun.dhawan977@stephensdu.edu.in","Arun Dhawan","Student","69351903bd14f512f99e2c40","2023-09-27T18:30:00.000Z"
"krishna.joshi581@stephensdu.edu.in","Krishna Joshi","Student","69351903bd14f512f99e2c43","2022-08-11T18:30:00.000Z"
"kian.bhatia842@stephensdu.edu.in","Kian Bhatia","Student","69351903bd14f512f99e2c46","2023-09-11T18:30:00.000Z"
"krishna.sen344@stephensdu.edu.in","Krishna Sen","Student","69351903bd14f512f99e2c49","2023-07-13T18:30:00.000Z"
"darsh.sen232@stephensdu.edu.in","Darsh Sen","Student","69351904bd14f512f99e2c4c","2023-08-18T18:30:00.000Z"
"aadhya.goel926@stephensdu.edu.in","Aadhya Goel","Student","69351904bd14f512f99e2c4f","2024-08-09T18:30:00.000Z"
"sneha.pandey951@stephensdu.edu.in","Sneha Pandey","Student","69351904bd14f512f99e2c52","2021-07-12T18:30:00.000Z"
"ishaan.dhawan471@stephensdu.edu.in","Ishaan Dhawan","Student","69351904bd14f512f99e2c55","2022-08-12T18:30:00.000Z"
"kumar.mishra615@stephensdu.edu.in","Kumar Mishra","Student","69351904bd14f512f99e2c58","2024-08-02T18:30:00.000Z"
"rohan.pillai562@stephensdu.edu.in","Rohan Pillai","Student","69351904bd14f512f99e2c5b","2022-09-24T18:30:00.000Z"
"shanaya.jain693@stephensdu.edu.in","Shanaya Jain","Student","69351904bd14f512f99e2c5e","2024-08-15T18:30:00.000Z"
"shaurya.verma449@stephensdu.edu.in","Shaurya Verma","Student","69351904bd14f512f99e2c61","2021-07-03T18:30:00.000Z"
"prasad.chatterjee564@stephensdu.edu.in","Prasad Chatterjee","Student","69351904bd14f512f99e2c64","2023-08-28T18:30:00.000Z"
"ankit.jain43@stephensdu.edu.in","Ankit Jain","Student","69351904bd14f512f99e2c67","2023-08-25T18:30:00.000Z"
"myra.kulkarni826@stephensdu.edu.in","Myra Kulkarni","Student","69351904bd14f512f99e2c6a","2021-09-17T18:30:00.000Z"
"myra.dubey82@stephensdu.edu.in","Myra Dubey","Student","69351904bd14f512f99e2c6d","2022-09-14T18:30:00.000Z"
"aditya.pillai590@stephensdu.edu.in","Aditya Pillai","Student","69351905bd14f512f99e2c70","2022-08-12T18:30:00.000Z"
"priya.reddy593@stephensdu.edu.in","Priya Reddy","Student","69351905bd14f512f99e2c73","2023-07-29T18:30:00.000Z"
"padma.anand6@stephensdu.edu.in","Padma Anand","Student","69351905bd14f512f99e2c76","2021-09-23T18:30:00.000Z"
"varun.patel927@stephensdu.edu.in","Varun Patel","Student","69351905bd14f512f99e2c79","2023-09-23T18:30:00.000Z"
"dhruv.iyengar103@stephensdu.edu.in","Dhruv Iyengar","Student","69351905bd14f512f99e2c7c","2024-08-07T18:30:00.000Z"
"arun.kumar345@stephensdu.edu.in","Arun Kumar","Student","69351905bd14f512f99e2c7f","2023-09-21T18:30:00.000Z"
"vihaan.verma626@stephensdu.edu.in","Vihaan Verma","Student","69351905bd14f512f99e2c82","2024-09-21T18:30:00.000Z"
"suresh.pillai192@stephensdu.edu.in","Suresh Pillai","Student","69351905bd14f512f99e2c85","2022-08-03T18:30:00.000Z"
"aditya.bose983@stephensdu.edu.in","Aditya Bose","Student","69351905bd14f512f99e2c88","2023-07-19T18:30:00.000Z"
"krishna.kulkarni641@stephensdu.edu.in","Krishna Kulkarni","Student","69351905bd14f512f99e2c8b","2021-09-19T18:30:00.000Z"
"pradeep.chavan844@stephensdu.edu.in","Pradeep Chavan","Student","69351905bd14f512f99e2c8e","2022-09-12T18:30:00.000Z"
"anika.kumar613@stephensdu.edu.in","Anika Kumar","Student","69351905bd14f512f99e2c91","2021-08-12T18:30:00.000Z"
"pihu.reddy933@stephensdu.edu.in","Pihu Reddy","Student","69351905bd14f512f99e2c94","2021-08-11T18:30:00.000Z"
"ananya.deshmukh197@stephensdu.edu.in","Ananya Deshmukh","Student","69351905bd14f512f99e2c97","2023-07-15T18:30:00.000Z"
"naveen.singh880@stephensdu.edu.in","Naveen Singh","Student","69351906bd14f512f99e2c9a","2023-07-28T18:30:00.000Z"
"yash.pillai608@stephensdu.edu.in","Yash Pillai","Student","69351906bd14f512f99e2c9d","2024-07-23T18:30:00.000Z"
"deepika.das988@srccdu.edu.in","Deepika Das","Alumni","693518eabd14f512f99e21f7","2019-06-15T18:30:00.000Z"
"rohit.sen775@srccdu.edu.in","Rohit Sen","Alumni","693518eabd14f512f99e2203","2021-08-22T18:30:00.000Z"
"siddhi.mehra836@srccdu.edu.in","Siddhi Mehra","Alumni","693518eabd14f512f99e220f","2023-07-15T18:30:00.000Z"
"veer.iyer550@srccdu.edu.in","Veer Iyer","Alumni","693518eabd14f512f99e221c","2023-04-12T18:30:00.000Z"
"deepak.das37@srccdu.edu.in","Deepak Das","Alumni","693518eabd14f512f99e2228","2022-02-27T18:30:00.000Z"
"manoj.rao260@srccdu.edu.in","Manoj Rao","Alumni","693518eabd14f512f99e2234","2019-06-23T18:30:00.000Z"
